exhibition_id,canonical_name,arabic_name,aliases,organizer,venue,city,country,current_edition_year,start_date,end_date,event_type,sector,has_exhibition_floor,lifecycle_status,pipeline_tier,exhibition_floor_evidence,official_url,organizer_url,current_directory_url,exhibitor_page_url,exhibit_registration_url,sponsor_page_url,partner_page_url,catalogue_url,event_app_url,floor_plan_url,stated_exhibitor_count,priority,verification_status,confidence,last_verified_at,notes
riyadh-2026-lighting-design-technology,Lighting Design & Technology Expo 2026,معرض تصميم وتقنيات الإضاءة,LightExpoKSA; LIGHTSPACE Saudi Arabia,dmg events,Riyadh Front Exhibition & Conference Center,Riyadh,Saudi Arabia,2026,2026-09-06,2026-09-08,trade_show,lighting_design_technology,yes,upcoming_discovery,primary_b2b,RFECC/ExpoFP calendar and sector pages identify co-located lighting exhibition; 2026 current exhibitor list not found.,https://www.index-saudi.com/product-sectors/lighting/,https://www.dmgevents.com/,,https://exhibitors.lightingdesign-techexpo.com/lighting-design-technology-expo/Exhibitor,,,,,,,,B,discovery_only,low,2026-07-18,"Official-looking exhibitor page content is old 2023; retained as historical source, not 2026 current list."
riyadh-2026-orgatec-workspace,ORGATEC WORKSPACE Saudi Arabia 2026,أورجيتك وورك سبيس السعودية,ORGATEC Saudi,dmg events / Koelnmesse,Riyadh Front Exhibition & Conference Center,Riyadh,Saudi Arabia,2026,2026-09-13,2026-09-15,trade_show,workspace_interiors,yes,upcoming_discovery,primary_b2b,Public social/third-party pages state 13-15 Sep 2026 exhibitor registration; official site now emphasizes 2027.,https://www.orgatec-workspace-saudi.com/,https://www.dmgevents.com/,,,https://www.orgatec-workspace-saudi.com/,,,,,,100+ exhibitors in 2025,B,conflict_needs_review,medium,2026-07-18,Date/status conflict: official site shows 2027 return while social/third-party sources mention 2026; retained as date/status candidate.
riyadh-2026-saudi-agriculture,Saudi Agriculture 2026,المعرض الزراعي السعودي,Saudi Agrofood; Saudi FoodPack; Saudi Aquaculture,Riyadh Exhibitions Company Ltd.,Riyadh International Convention & Exhibition Center,Riyadh,Saudi Arabia,2026,2026-10-19,2026-10-22,trade_show,agriculture_foodpack_aquaculture,yes,upcoming_confirmed,primary_b2b,Official page states 438+ exhibitors and current exhibitor-list page names companies.,https://saudi-agriculture.com/,https://www.recexpo.com/,https://saudi-agriculture.com/exhibitors-list/,https://saudi-agriculture.com/exhibitors-list/,https://saudi-agriculture.com/book-your-space/,,,,,,438+ exhibitors,A,verified_primary,high,2026-07-18,Current 2026 exhibitor list located; agriculture/agro-food high priority.
riyadh-2026-saudi-food-expo,Saudi Food Expo 2026,معرض الغذاء السعودي,Saudi Food Exhibition,Saudi Food Expo,Riyadh Front Expo,Riyadh,Saudi Arabia,2026,2026-11-15,2026-11-18,trade_show,food_hospitality,yes,upcoming_discovery,primary_b2b,"Official event page claims Riyadh Front Expo and 450+ exhibitors/sponsors, but organizer identity requires review.",https://www.saudifoodexpo.com/,,,,https://www.saudifoodexpo.com/,,https://www.saudifoodexpo.com/,,,,450+ exhibitors,B,discovery_only,low,2026-07-18,Not to be confused with The Saudi Food Show/Saudi Food Manufacturing pages that indicate Jeddah or conflicting dates.
riyadh-2026-foodex-saudi,Foodex Saudi 2026,فودكس السعودية,Foodex Saudi Riyadh,Reed Sunaidi Exhibitions,Riyadh venue unconfirmed,Riyadh,Saudi Arabia,2026,,,trade_show,food_beverage,yes,date_unconfirmed,date_unconfirmed_candidate,"Official site says Foodex Saudi 2026 includes Riyadh and Jeddah in November 2026, but exact Riyadh dates/venue are not captured.",https://www.foodexsaudiexpo.com/en,https://reedsunaidi.com/,,,https://www.foodexsaudiexpo.com/en,,,,,,,B,discovery_only,low,2026-07-18,Date-unconfirmed Riyadh candidate; not counted as upcoming confirmed pipeline until exact Riyadh dates are verified.
riyadh-2026-saudi-elenex,Saudi Elenex 2026,معرض إلينكس السعودي,Saudi Elenex,Riyadh Exhibitions Company Ltd.,Riyadh International Convention & Exhibition Center,Riyadh,Saudi Arabia,2026,2026-11-02,2026-11-05,trade_show,energy_electricity_hvac,yes,upcoming_confirmed,primary_b2b,Official site states sector-leaders event dates and venue; co-located with Saudi Build.,https://saudielenex.com/,https://www.recexpo.com/,https://saudielenex.com/exhibitors-list/,https://saudielenex.com/exhibitors-list/,https://saudielenex.com/,,,,,,,A,verified_primary,high,2026-07-20,Official 2026 current exhibitor list located; extract in the parallel current-directory lane and keep external date conflicts under review.
riyadh-2026-lift-city-expo,LIFT CITY EXPO Riyadh 2026,معرض ليفت سيتي الرياض,Lift City Expo,Lift City Expo,The Arena Riyadh Venue for Exhibitions,Riyadh,Saudi Arabia,2026,2026-11-26,2026-11-28,trade_show,elevators_vertical_transport,yes,upcoming_confirmed,primary_b2b,"Eye of Riyadh specific page states dates, venue, and registration for lift/elevator exhibition.",https://www.liftcityexpo.com/,,,,https://www.liftcityexpo.com/,,,,,,,B,discovery_only,medium,2026-07-18,Specific third-party event page found; official site requires deeper verification.
riyadh-2026-industrial-transformation-saudi,Industrial Transformation Saudi Arabia 2026,التحول الصناعي السعودي,ITS Arabia,Deutsche Messe / Hannover Messe network,Riyadh Convention & Exhibition Center,Riyadh,Saudi Arabia,2026,2026-11-30,2026-12-02,trade_show,industrial_manufacturing,yes,upcoming_confirmed,primary_b2b,Eye of Riyadh specific page identifies advanced-technology industrial exhibition in Riyadh.,https://industrialtransformation-saudiarabia.com/,,,,,,,,,,,A,discovery_only,medium,2026-07-18,Late-2026 industrial candidate; official site/access needs follow-up for exact venue and directory.
riyadh-2026-black-hat-mea,Black Hat Middle East and Africa 2026,بلاك هات الشرق الأوسط وأفريقيا,Black Hat MEA,Tahaluf,"Riyadh Exhibition and Convention Center, Malham",Riyadh,Saudi Arabia,2026,2026-12-01,2026-12-03,trade_show,cybersecurity_security,yes,upcoming_confirmed,primary_b2b,Venue/calendar and event brand indicate cybersecurity exhibition with sponsors/exhibitors; current directory not found.,https://blackhatmea.com/,https://tahaluf.com/,,,https://blackhatmea.com/exhibit/,,,,,,,A,verified_cross_source,medium,2026-07-18,Security/technology target; no public 2026 exhibitor list captured.
riyadh-2026-world-defense-show,World Defense Show 2026,معرض الدفاع العالمي,WDS,General Authority for Military Industries,"World Defense Show venue, Malham",Riyadh,Saudi Arabia,2026,2026-02-08,2026-02-12,trade_show,defense_security,yes,completed_historical,historical_2026_completed,"Event ended before 2026-07-18; retained for historical exhibitor extraction, not upcoming sales pipeline.",https://www.worlddefenseshow.com/,,,https://www.worlddefenseshow.com/exhibit/,https://www.worlddefenseshow.com/exhibit/,,,,,,,A,verified_cross_source,medium,2026-07-18,Completed before current date; removed from upcoming totals and classified historical_2026_completed.
riyadh-2026-wam-saudi-expo,WAM Saudi Expo 2026,وام السعودية,World Advanced Manufacturing Saudi,Kaoun International / GITEX GLOBAL,Riyadh,Riyadh,Saudi Arabia,2026,2026-02-15,2026-02-17,trade_show,advanced_manufacturing_logistics,yes,completed_historical,historical_2026_completed,"Event ended before 2026-07-18; retained for historical exhibitor extraction, not upcoming sales pipeline.",https://wamsaudiexpo.com/,,,https://m.eyeofriyadh.com/events/details/wam-saudi-expo-2026,https://m.eyeofriyadh.com/events/details/wam-saudi-expo-2026,,,,,,,A,verified_cross_source,medium,2026-07-18,Completed before current date; removed from upcoming totals and classified historical_2026_completed.
riyadh-2026-automechanika-riyadh,Automechanika Riyadh 2026,أوتوميكانيكا الرياض,Automechanika Riyadh,Messe Frankfurt Middle East,Riyadh International Convention & Exhibition Center,Riyadh,Saudi Arabia,2026,2026-05-04,2026-05-06,trade_show,automotive_aftermarket,yes,completed_historical,historical_2026_completed,"Event ended before 2026-07-18; retained for historical exhibitor extraction, not upcoming sales pipeline.",https://automechanika-riyadh.ae.messefrankfurt.com/,,,https://automechanika-riyadh.ae.messefrankfurt.com/riyadh/en/exhibit.html,https://automechanika-riyadh.ae.messefrankfurt.com/riyadh/en/exhibit.html,,,,,,,A,verified_cross_source,medium,2026-07-18,Completed before current date; removed from upcoming totals and classified historical_2026_completed.
riyadh-2026-cphi-middle-east,CPHI Middle East 2026,سي بي إتش آي الشرق الأوسط,CPHI Middle East,Informa Markets,"Riyadh Exhibition and Convention Centre, Malham",Riyadh,Saudi Arabia,2026,2026-12-14,2026-12-16,trade_show,pharmaceuticals,yes,upcoming_confirmed,primary_b2b,Official CPHI Middle East current site states return on 14-16 Dec 2026 at RECC Malham; previous May classification requires review.,https://www.cphi.com/middle-east/,,,https://www.cphi.com/middle-east/,https://www.cphi.com/mea/en/exhibit.html,,,,,,,A,verified_primary,high,2026-07-21,Corrected from completed_historical after official current CPHI Middle East site showed 14-16 Dec 2026; monitor direct exhibitor-list endpoint.
riyadh-2026-bio-middle-east,BIO Middle East 2026,بايو الشرق الأوسط,BIO Middle East,Tahaluf,"Riyadh Exhibition and Convention Centre, Malham",Riyadh,Saudi Arabia,2026,2026-12-14,2026-12-16,trade_show,biotech,yes,upcoming_confirmed,primary_b2b,Official BIO Middle East 2026 page lists 126 exhibitors and shows 14-16 Dec 2026 at RECC Malham.,https://biomiddleeast.com/,,https://biomiddleeast.com/exhibitor-list-2026,https://biomiddleeast.com/exhibitor-list-2026,https://biomiddleeast.com/exhibitor-list-2026,,,,,,,A,verified_primary,high,2026-07-21,Corrected from completed_historical after official BIO Middle East 2026 exhibitor-list page showed 14-16 Dec 2026 and a current 126-company list.
riyadh-2026-saudi-travel-market,Saudi Travel Market 2026,سوق السفر السعودي,STM,unknown,Riyadh International Convention & Exhibition Center,Riyadh,Saudi Arabia,2026,2026-05-11,2026-05-13,trade_show,tourism,yes,completed_historical,historical_2026_completed,"Event ended before 2026-07-18; retained for historical exhibitor extraction, not upcoming sales pipeline.",https://sauditravelmarket.com/,,,https://sauditravelmarket.com/,https://sauditravelmarket.com/,,,,,,,B,verified_cross_source,medium,2026-07-18,Completed before current date; removed from upcoming totals and classified historical_2026_completed.
riyadh-2026-beautyworld-saudi,Beautyworld Saudi Arabia 2026,بيوتي وورلد السعودية,Beautyworld Saudi Arabia,Messe Frankfurt Middle East / 1st Arabia,Riyadh International Convention & Exhibition Center,Riyadh,Saudi Arabia,2026,2026-05-18,2026-05-20,trade_show,beauty,yes,completed_historical,historical_2026_completed,"Event ended before 2026-07-18; retained for historical exhibitor extraction, not upcoming sales pipeline.",https://beautyworld-middle-east.ae.messefrankfurt.com/saudi-arabia/en.html,,,https://beautyworld-middle-east.ae.messefrankfurt.com/saudi-arabia/en/exhibit.html,https://beautyworld-middle-east.ae.messefrankfurt.com/saudi-arabia/en/exhibit.html,,,,,,,B,verified_cross_source,medium,2026-07-18,Completed before current date; removed from upcoming totals and classified historical_2026_completed.
riyadh-2026-dunes-expo,DUNES Expo 2026,معرض ديونز,DUNES Outdoor Expo,unknown,Riyadh,Riyadh,Saudi Arabia,2026,2026-11-19,2026-11-21,consumer_exhibition,outdoor_lifestyle,yes,upcoming_discovery,secondary_consumer_opportunity,Eye of Riyadh specific page states 100+ exhibitors and consumer/outdoor-lifestyle positioning.,https://www.dunes-outdoor.com/,,,,,,,,,,100+ exhibitors,C,discovery_only,low,2026-07-18,Secondary consumer opportunity; not counted in primary B2B total pending Salah decision.
riyadh-2026-shopping-fashion-popups,Shopping and fashion pop-up markets 2026,أسواق التسوق والموضة المؤقتة,consumer pop-up markets,multiple,Riyadh,Riyadh,Saudi Arabia,2026,,,consumer_event,shopping_fashion,unknown,date_unconfirmed,secondary_consumer_opportunity,General category observed in public event calendars; specific qualifying B2B exhibition not verified.,,,,,,,,,,,,C,discovery_only,low,2026-07-18,Retained only as Salah-review secondary opportunity category; not a specific qualifying exhibition record for extraction.
riyadh-2026-hr-recruitment-candidates,HR and recruitment exhibitions in Riyadh 2026,معارض الموارد البشرية والتوظيف,HRSE; recruitment fairs,unknown,Riyadh,Riyadh,Saudi Arabia,2026,,,candidate,hr_recruitment,unknown,date_unconfirmed,date_unconfirmed_candidate,Arabic/English searches found HR conference/recruitment leads but no verified 18 Jul-31 Dec 2026 Riyadh exhibition floor.,,,,,,,,,,,,B,not_found,low,2026-07-18,Explicitly investigated; no qualifying upcoming exhibition source captured in this pass.
riyadh-2026-bapex-fapex-candidates,BAPEX/FAPEX Riyadh 2026 candidate,بابكس/فابكس,BAPEX; FAPEX,unknown,Riyadh,Riyadh,Saudi Arabia,2026,,,candidate,unknown,unknown,date_unconfirmed,date_unconfirmed_candidate,Searches for BAPEX/FAPEX did not verify a correctly named qualifying Riyadh exhibition in the operational window.,,,,,,,,,,,,C,not_found,low,2026-07-18,Name requires user/Salah clarification or deeper Arabic search; not counted as upcoming.
riyadh-2026-horse-equestrian-candidates,Horse and equestrian exhibition candidates 2026,معارض الخيل والفروسية,equestrian exhibitions,unknown,Riyadh,Riyadh,Saudi Arabia,2026,,,candidate,horse_equestrian,unknown,date_unconfirmed,secondary_consumer_opportunity,Investigated as requested; no verified B2B exhibition with dates and exhibitor floor captured.,,,,,,,,,,,,C,not_found,low,2026-07-18,Could overlap consumer/sport events; not counted as primary B2B.
riyadh-2026-back-to-school-candidates,Back-to-school exhibition candidates 2026,معارض العودة للمدارس,education/back-to-school fairs,unknown,Riyadh,Riyadh,Saudi Arabia,2026,,,candidate,education_retail,unknown,date_unconfirmed,secondary_consumer_opportunity,Investigated as requested; no specific qualifying B2B exhibition source captured.,,,,,,,,,,,,C,not_found,low,2026-07-18,Likely retail/consumer if found; not counted as primary B2B.
